,Key,ExitTime,Symbol,EntryPrice,ExitPrice,Quantity,PositionStatus,Pnl,ExitType
339,2019-05-15 10:15:00,2019-06-21 15:15:00,DCMSHRIRAM,526.0,527.2,190.0,1,228.00000000000864,BreakevenExit
340,2019-06-07 09:15:00,2019-06-21 15:15:00,IPCALAB,471.55,474.0,212.0,1,519.3999999999976,BreakevenExit
341,2019-03-27 11:15:00,2019-06-24 09:15:00,USHAMART,39.6,27.05,2525.0,1,-31688.75,dailyExit
342,2019-04-03 10:15:00,2019-06-24 09:15:00,LEMONTREE,84.65,64.9,1181.0,1,-23324.75,dailyExit
343,2019-05-21 09:15:00,2019-06-25 10:15:00,RITES,202.7,215.6,493.0,1,6359.700000000003,TargetUsingRsi
344,2019-06-17 10:15:00,2019-06-25 10:15:00,HDFCAMC,1938.1,1948.65,51.0,1,538.0500000000093,BreakevenExit
345,2019-05-29 13:15:00,2019-06-25 11:15:00,HAL,358.0,358.3,279.0,1,83.70000000000317,BreakevenExit
346,2019-06-07 15:15:00,2019-06-25 12:15:00,PFC,107.3,107.55,931.0,1,232.75,BreakevenExit
347,2019-05-14 14:15:00,2019-06-26 10:15:00,KNRCON,117.75,136.0,849.0,1,15494.25,TargetUsingRsi
348,2019-05-24 14:15:00,2019-06-26 12:15:00,SOBHA,515.05,516.35,194.0,1,252.20000000001323,BreakevenExit
349,2019-01-03 09:15:00,2019-06-27 09:15:00,TATAINVEST,904.0,917.3,110.0,1,1462.999999999995,BreakevenExit
350,2019-06-13 09:15:00,2019-06-27 10:15:00,LALPATHLAB,1081.1,1100.35,92.0,1,1771.0,TargetUsingRsi
351,2019-06-06 10:15:00,2019-06-27 13:15:00,HDFCLIFE,450.0,451.15,222.0,1,255.29999999999495,BreakevenExit
352,2020-06-17 11:15:00,2020-06-30 09:15:00,MOTHERSON,64.15,65.1,1558.0,1,1480.0999999999822,BreakevenExit
353,2019-05-14 12:15:00,2019-06-28 09:15:00,LINDEINDIA,535.0,541.55,186.0,1,1218.2999999999915,BreakevenExit
354,2019-05-30 13:15:00,2019-06-28 09:15:00,INFY,736.15,737.0,135.0,1,114.75000000000307,BreakevenExit
355,2019-04-26 15:15:00,2019-07-01 09:15:00,CHOLAHLDNG,520.0,467.15,192.0,1,-10147.200000000004,dailyExit
356,2020-03-20 11:15:00,2020-07-01 10:15:00,ZYDUSLIFE,281.8,350.7,354.0,1,24390.59999999999,TargetUsingRsi
357,2020-06-18 10:15:00,2020-07-01 10:15:00,POONAWALLA,21.9,25.75,4566.0,1,17579.100000000006,TargetUsingRsi
358,2019-06-17 15:15:00,2019-07-02 11:15:00,PIIND,1170.0,1210.0,85.0,1,3400.0,BreakevenExit
359,2019-05-30 09:15:00,2019-07-02 14:15:00,COALINDIA,237.2,237.5,421.0,1,126.30000000000479,BreakevenExit
360,2019-05-29 09:15:00,2019-07-03 09:15:00,GRAPHITE,442.2,329.4,226.0,1,-25492.800000000003,dailyExit
