Date,Portfolio Value,Peak Value,Drawdown %,Stock,Quantity,Entry Price,Daily Close,Position Value,Stock Drawdown %
2025-03-06,246878.3,246878.3,0.0,NAVINFLUOR,8.0,4121.1,4077.6,32620.8,6.61
2025-03-06,246878.3,246878.3,0.0,NTPC,91.0,332.35,329.55,29989.05,0.89
2025-03-06,246878.3,246878.3,0.0,CHOLAFIN,21.0,1458.75,1457.35,30604.35,4.98
2025-03-06,246878.3,246878.3,0.0,HINDALCO,44.0,681.95,691.35,30419.4,17.62
2025-03-06,246878.3,246878.3,0.0,INDIGO,7.0,4765.0,4657.55,32602.85,2.88
2025-03-06,246878.3,246878.3,0.0,JINDALSTEL,33.0,915.65,908.95,29995.35,14.06
2025-03-06,246878.3,246878.3,0.0,JSWSTEEL,30.0,1011.75,1011.15,30334.5,8.05
2025-03-06,246878.3,246878.3,0.0,TATASTEEL,200.0,150.36,151.56,30312.0,15.42
2025-03-09,366951.25,366951.25,0.0,NAVINFLUOR,8.0,4121.1,4080.5,32644.0,6.61
2025-03-09,366951.25,366951.25,0.0,NTPC,91.0,332.35,329.4,29975.4,0.89
2025-03-09,366951.25,366951.25,0.0,CHOLAFIN,21.0,1458.75,1419.55,29810.55,4.98
2025-03-09,366951.25,366951.25,0.0,HINDALCO,44.0,681.95,689.15,30322.6,17.62
2025-03-09,366951.25,366951.25,0.0,INDIGO,7.0,4765.0,4627.55,32392.85,2.88
2025-03-09,366951.25,366951.25,0.0,JINDALSTEL,33.0,915.65,905.3,29874.9,14.06
2025-03-09,366951.25,366951.25,0.0,JSWSTEEL,30.0,1011.75,1013.5,30405.0,8.05
2025-03-09,366951.25,366951.25,0.0,TATASTEEL,200.0,150.36,151.05,30210.0,15.42
2025-03-09,366951.25,366951.25,0.0,BERGEPAINT,60.0,507.0,504.45,30267.0,4.81
2025-03-09,366951.25,366951.25,0.0,COALINDIA,78.0,385.4,375.15,29261.7,2.8
2025-03-09,366951.25,366951.25,0.0,SRF,11.0,2918.9,2938.15,32319.65,6.98
2025-03-09,366951.25,366951.25,0.0,JSL,46.0,654.85,640.6,29467.6,21.72
2025-03-10,398326.05,398326.05,0.0,NAVINFLUOR,8.0,4121.1,4122.45,32979.6,6.61
2025-03-10,398326.05,398326.05,0.0,NTPC,91.0,332.35,330.3,30057.3,0.89
2025-03-10,398326.05,398326.05,0.0,CHOLAFIN,21.0,1458.75,1448.75,30423.75,4.98
2025-03-10,398326.05,398326.05,0.0,HINDALCO,44.0,681.95,695.5,30602.0,17.62
2025-03-10,398326.05,398326.05,0.0,INDIGO,7.0,4765.0,4651.45,32560.15,2.88
2025-03-10,398326.05,398326.05,0.0,JINDALSTEL,33.0,915.65,904.85,29860.05,14.06
2025-03-10,398326.05,398326.05,0.0,JSWSTEEL,30.0,1011.75,1018.65,30559.5,8.05
2025-03-10,398326.05,398326.05,0.0,TATASTEEL,200.0,150.36,150.75,30150.0,15.42
2025-03-10,398326.05,398326.05,0.0,BERGEPAINT,60.0,507.0,498.05,29883.0,4.81
2025-03-10,398326.05,398326.05,0.0,COALINDIA,78.0,385.4,379.05,29565.9,2.8
2025-03-10,398326.05,398326.05,0.0,SRF,11.0,2918.9,2921.25,32133.75,6.98
2025-03-10,398326.05,398326.05,0.0,JSL,46.0,654.85,649.35,29870.1,21.72
2025-03-10,398326.05,398326.05,0.0,ADANIENSOL,39.0,778.25,761.05,29680.95,2.21
2025-03-11,428582.45,428582.45,0.0,NAVINFLUOR,8.0,4121.1,4107.9,32863.2,6.61
2025-03-11,428582.45,428582.45,0.0,NTPC,91.0,332.35,330.15,30043.65,0.89
2025-03-11,428582.45,428582.45,0.0,CHOLAFIN,21.0,1458.75,1451.5,30481.5,4.98
2025-03-11,428582.45,428582.45,0.0,HINDALCO,44.0,681.95,689.85,30353.4,17.62
2025-03-11,428582.45,428582.45,0.0,INDIGO,7.0,4765.0,4729.2,33104.4,2.88
2025-03-11,428582.45,428582.45,0.0,JINDALSTEL,33.0,915.65,903.05,29800.65,14.06
2025-03-11,428582.45,428582.45,0.0,JSWSTEEL,30.0,1011.75,1010.4,30312.0,8.05
2025-03-11,428582.45,428582.45,0.0,TATASTEEL,200.0,150.36,150.3,30060.0,15.42
2025-03-11,428582.45,428582.45,0.0,BERGEPAINT,60.0,507.0,482.6,28956.0,4.81
2025-03-11,428582.45,428582.45,0.0,COALINDIA,78.0,385.4,380.7,29694.6,2.8
2025-03-11,428582.45,428582.45,0.0,SRF,11.0,2918.9,2958.6,32544.6,6.98
2025-03-11,428582.45,428582.45,0.0,JSL,46.0,654.85,637.1,29306.6,21.72
2025-03-11,428582.45,428582.45,0.0,ADANIENSOL,39.0,778.25,781.75,30488.25,2.21
2025-03-11,428582.45,428582.45,0.0,SHRIRAMFIN,48.0,637.8,636.95,30573.6,3.73
2025-03-12,487691.6,487691.6,0.0,NAVINFLUOR,8.0,4121.1,4126.9,33015.2,6.61
2025-03-12,487691.6,487691.6,0.0,NTPC,91.0,332.35,331.9,30202.9,0.89
2025-03-12,487691.6,487691.6,0.0,CHOLAFIN,21.0,1458.75,1444.7,30338.7,4.98
2025-03-12,487691.6,487691.6,0.0,HINDALCO,44.0,681.95,677.35,29803.4,17.62
2025-03-12,487691.6,487691.6,0.0,INDIGO,7.0,4765.0,4700.85,32905.95,2.88
2025-03-12,487691.6,487691.6,0.0,JINDALSTEL,33.0,915.65,889.7,29360.1,14.06
2025-03-12,487691.6,487691.6,0.0,JSWSTEEL,30.0,1011.75,1001.2,30036.0,8.05
2025-03-12,487691.6,487691.6,0.0,TATASTEEL,200.0,150.36,150.88,30176.0,15.42
2025-03-12,487691.6,487691.6,0.0,BERGEPAINT,60.0,507.0,488.2,29292.0,4.81
2025-03-12,487691.6,487691.6,0.0,COALINDIA,78.0,385.4,378.3,29507.4,2.8
2025-03-12,487691.6,487691.6,0.0,SRF,11.0,2918.9,2951.8,32469.8,6.98
2025-03-12,487691.6,487691.6,0.0,JSL,46.0,654.85,632.3,29085.8,21.72
2025-03-12,487691.6,487691.6,0.0,ADANIENSOL,39.0,778.25,783.2,30544.8,2.21
2025-03-12,487691.6,487691.6,0.0,SHRIRAMFIN,48.0,637.8,619.55,29738.4,3.73
2025-03-12,487691.6,487691.6,0.0,KOTAKBANK,16.0,1995.1,1985.1,31761.6,0.5
2025-03-12,487691.6,487691.6,0.0,VOLTAS,21.0,1444.4,1402.55,29453.55,14.89
2025-03-16,524341.95,524341.95,0.0,NAVINFLUOR,8.0,4121.1,4138.5,33108.0,6.61
2025-03-16,524341.95,524341.95,0.0,NTPC,91.0,332.35,331.65,30180.15,0.89
2025-03-16,524341.95,524341.95,0.0,CHOLAFIN,21.0,1458.75,1455.6,30567.6,4.98
2025-03-16,524341.95,524341.95,0.0,HINDALCO,44.0,681.95,680.75,29953.0,17.62
